year,qdistance,qtime,avg_delay
1998,17,14,-1.5024218405988551
1998,17,15,1.1989193298759130
1998,17,16,3.8987026037647819
1998,17,17,7.8336113846957850
1998,17,18,25.7026835443037975
1998,17,19,79.0991735537190083
1998,17,20,
1998,18,1,0.00000000000000000000
1998,18,7,34.0000000000000000
1998,18,12,-3.0000000000000000
1998,18,13,-4.0000000000000000
1998,18,14,-12.5882352941176471
1998,18,15,-2.8643902439024390
1998,18,16,-0.23711524695776664281
1998,18,17,3.4523139540726597
1998,18,18,9.2899700273663177
1998,18,19,30.0177745056794279
1998,18,20,139.4117647058823529
1998,19,11,-4.0000000000000000
1998,19,12,-134.0000000000000000
1998,19,13,2.6666666666666667
1998,19,14,-9.0000000000000000
1998,19,15,34.7500000000000000
1998,19,16,-5.9750000000000000
1998,19,17,-5.0758994578610153
1998,19,18,2.9317950683154745
1998,19,19,12.1401319323956563
1998,19,20,74.1247833622183709
1998,20,12,-8.0000000000000000
1998,20,14,16.0000000000000000
1998,20,16,26.0000000000000000
1998,20,17,0.40000000000000000000
1998,20,18,-4.7672427983539095
1998,20,19,3.8478503878148638
1998,20,20,10.9129896646429604
2000,1,1,5.9165197316997801
2000,1,2,9.0137877489826515
2000,1,3,11.9219842892499731
2000,1,4,16.8564030131826742
2000,1,5,26.0872656755009696
2000,1,6,31.7445997458703939
2000,1,7,36.5222482435597190
2000,1,8,52.2666666666666667
2000,1,9,65.7723577235772358
2000,1,10,78.9230769230769231
2000,1,11,72.5714285714285714
2000,1,12,82.1739130434782609
2000,1,13,141.5555555555555556
2000,1,14,82.7500000000000000
2000,1,15,120.0000000000000000
2000,1,16,103.0000000000000000
2000,1,17,197.0000000000000000
2000,1,19,
2000,1,20,
2000,2,1,6.3652685499822488
2000,2,2,6.7736068349753695
2000,2,3,9.6429406416417717
2000,2,4,14.0310535024820739
2000,2,5,19.8472899907688250
2000,2,6,29.6355905511811024
2000,2,7,41.4110054347826087
2000,2,8,55.3641456582633053
2000,2,9,73.2939632545931759
2000,2,10,87.3750000000000000
2000,2,11,98.6788321167883212
2000,2,12,115.8666666666666667
2000,2,13,133.0555555555555556
2000,2,14,163.0454545454545455
2000,2,15,133.4285714285714286
2000,2,16,222.0000000000000000
2000,2,17,144.5000000000000000
2000,2,18,368.0000000000000000
2000,2,19,
2000,2,20,
2000,3,1,7.0145937704203877
2000,3,2,7.1844064683307639
2000,3,3,10.2112739998108389
2000,3,4,13.5909061648391734
2000,3,5,19.5429840259826341
2000,3,6,26.0861313868613139
2000,3,7,37.3912681912681913
2000,3,8,51.8606557377049180
2000,3,9,67.5418250950570342
2000,3,10,92.7550335570469799
